0,0,71,65,0,0,54,56,0,0,18,18,0,0,73,70,0,0,28,24,0,0,11,12,1
0,0,18,17,0,0,42,35,0,0,9,21,0,0,3,5,0,0,108,131,0,0,63,61,1
0,0,11,10,0,0,1,0,0,0,45,51,0,0,39,31,0,0,31,39,0,0,23,14,0
0,0,75,64,0,0,31,39,0,0,129,128,0,0,6,5,0,0,52,37,0,0,22,18,0
0,0,144,125,0,0,35,44,0,0,34,43,0,0,83,97,0,0,35,46,0,1,63,61,1
0,1,11,12,0,1,28,24,0,0,3,4,0,1,73,70,1,0,129,128,0,1,18,18,1
1,0,11,10,0,0,74,58,1,0,31,39,0,0,115,132,0,1,71,65,0,0,150,147,0
0,1,108,131,0,0,27,34,0,0,13,10,1,0,45,51,0,0,69,63,0,0,43,41,0
0,1,83,97,0,1,35,46,1,0,75,64,1,1,129,128,0,0,9,8,0,0,20,23,0
0,2,73,70,0,2,18,18,0,0,32,37,2,1,129,128,0,1,144,125,0,1,3,4,1
0,0,31,28,0,0,71,85,0,2,28,24,0,0,33,30,0,0,173,141,0,0,28,29,1
0,0,25,19,0,0,54,60,0,0,26,22,2,0,31,39,1,0,150,147,1,1,71,65,1
0,2,63,61,0,0,7,7,1,0,6,5,2,2,129,128,1,0,9,8,1,0,115,132,1
2,3,129,128,0,1,32,37,0,3,73,70,1,0,27,34,0,0,44,60,0,2,144,125,0
0,0,48,67,1,2,71,65,0,0,68,59,1,1,150,147,2,1,31,39,0,1,26,22,1
0,0,14,11,0,1,7,7,0,3,28,24,3,3,129,128,0,0,42,41,0,1,54,60,0
1,3,73,70,4,3,129,128,0,3,63,61,1,1,108,131,0,0,53,53,1,0,44,60,0
1,0,74,58,1,1,115,132,0,0,2,2,2,2,31,39,1,1,32,37,0,2,26,22,0
1,2,150,147,1,1,83,97,0,0,10,11,0,0,144,160,0,0,28,20,0,0,2,2,0
1,3,63,61,0,0,72,58,0,0,24,31,0,0,99,136,2,0,44,60,0,0,142,166,0
5,3,129,128,1,1,7,7,0,0,11,3,0,0,38,41,0,0,19,27,0,0,68,91,0
3,2,31,39,0,0,31,36,0,0,74,94,0,0,91,103,2,1,32,37,1,2,26,22,1
0,0,90,98,2,0,74,58,0,0,17,18,2,1,115,132,1,2,144,125,0,1,99,136,0
1,0,10,11,0,1,24,31,0,1,18,17,2,1,83,97,0,2,3,4,0,0,112,126,1
1,4,63,61,0,1,72,58,0,1,31,36,0,0,13,4,1,0,144,160,1,3,26,22,1
0,0,24,28,0,0,27,30,0,1,74,94,0,0,6,12,0,0,36,25,0,0,69,70,1
0,1,91,103,1,1,99,136,0,0,87,77,0,0,5,8,0,0,123,127,1,0,90,98,0
3,0,74,58,3,1,115,132,0,0,9,6,1,0,17,18,0,1,112,126,0,1,142,166,0
0,1,28,29,0,0,57,69,0,0,36,29,0,0,9,13,0,0,2,4,1,4,26,22,0
6,3,129,128,0,1,27,30,0,0,13,20,2,3,73,70,0,0,1,3,0,0,49,51,1
1,1,57,69,2,2,144,125,0,1,29,16,1,2,28,29,1,1,9,13,0,1,7,7,1
2,1,108,131,1,0,19,27,0,0,15,17,4,1,115,132,0,0,38,39,2,0,27,34,1
0,1,33,30,0,0,16,21,6,4,129,128,2,4,73,70,0,0,46,53,0,1,1,3,0
0,0,68,59,2,2,150,147,0,0,9,15,0,3,173,141,1,2,5,8,1,2,142,166,0
1,1,9,8,0,0,21,20,0,1,47,52,0,0,45,50,0,0,8,8,1,0,20,23,0
0,0,17,18,1,0,52,37,0,0,55,53,1,3,28,24,2,3,144,125,1,0,23,14,0
0,0,45,61,0,2,72,58,0,2,74,94,0,0,19,22,1,3,71,65,0,2,29,16,0
3,4,73,70,1,3,28,29,1,1,1,3,1,1,33,30,1,0,2,4,7,4,129,128,1
0,1,38,39,0,0,54,54,2,2,142,166,2,1,27,34,0,0,127,131,0,1,15,17,0
1,0,9,15,3,2,150,147,1,0,46,53,2,1,9,8,0,0,7,10,0,0,21,22,0
3,5,73,70,3,3,144,125,0,0,38,33,7,5,129,128,0,1,68,59,0,2,27,30,0
1,1,47,52,1,0,55,53,2,0,23,14,1,4,28,29,1,2,9,13,0,0,5,2,1
4,0,74,58,2,2,108,131,0,0,8,13,1,0,45,61,0,1,42,35,0,2,18,17,0
4,5,73,70,4,3,144,125,1,2,27,30,1,0,87,77,0,0,45,45,1,1,68,59,1
0,0,24,12,0,0,13,12,1,2,74,94,1,0,38,33,0,1,5,2,0,0,26,28,0
1,1,2,4,1,3,9,13,0,0,77,42,1,5,28,29,1,2,57,69,0,0,20,29,1
0,0,29,33,1,2,47,52,1,0,16,21,2,0,45,51,1,1,54,60,0,1,25,19,1
0,0,16,13,0,0,48,58,0,1,48,67,2,0,45,61,0,0,22,20,5,0,74,58,0
4,2,150,147,0,0,3,3,1,1,15,17,1,1,35,46,1,0,127,131,1,1,91,103,1
8,5,129,128,2,0,90,98,0,1,77,42,0,0,9,19,0,0,46,36,0,0,52,39,0
0,1,20,29,1,3,57,69,2,2,74,94,1,6,28,29,1,4,9,13,1,2,2,4,1
0,0,21,31,0,0,86,107,1,0,22,20,1,1,48,67,1,2,54,60,3,2,142,166,1
0,1,45,45,2,2,32,37,2,3,74,94,1,0,48,58,1,0,16,13,1,3,173,141,0
3,0,90,98,1,1,77,42,1,0,52,39,4,6,73,70,1,0,68,59,0,0,5,8,1
